school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Cluster
GP,F,1.023046454461126,U,GT3,A,1.1438556741642336,1.3603706359757965,at_home,teacher,course,mother,0.7922507560739607,-0.04228584588102149,-0.4499436443692835,yes,no,no,no,yes,yes,no,no,0.06219405883392808,-0.23601020446248228,0.8014792996325567,-0.5406986566036541,-1.0037892104979562,-0.3992894854413955,0.03642446420844665,-1.7824668774646413,-1.254791054106298,-0.9649339151210796,2
GP,F,0.23837975637929248,U,GT3,T,-1.6000086454402538,-1.3999704661326267,at_home,other,course,father,-0.6432494670875735,-0.04228584588102149,-0.4499436443692835,no,yes,no,no,no,yes,yes,no,1.178860115170367,-0.23601020446248228,-0.09790798262556814,-0.5406986566036541,-1.0037892104979562,-0.3992894854413955,-0.21379576818001317,-1.7824668774646413,-1.520979274499417,-0.9649339151210796,2
GP,F,-1.3309536397843746,U,LE3,T,-1.6000086454402538,-1.3999704661326267,at_home,other,other,mother,-0.6432494670875735,-0.04228584588102149,3.5893231630367843,yes,no,yes,no,yes,yes,yes,no,0.06219405883392808,-0.23601020446248228,-0.997295264883693,0.5833853926513113,0.55109995870476,-0.3992894854413955,0.5368649289853663,-1.179146897517312,-0.7224146133200599,-0.0907391984402851,0
GP,F,-1.3309536397843746,U,GT3,T,1.1438556741642336,-0.4798567654298188,health,services,home,mother,-0.6432494670875735,1.1507790914763643,-0.4499436443692835,no,yes,yes,yes,yes,yes,yes,yes,-1.0544719975025107,-1.238419137394531,-0.997295264883693,-0.5406986566036541,-1.0037892104979562,1.0410698456029082,-0.464016000568473,1.2341330222720055,0.8747147090386544,1.0020041974107081,1
GP,F,-0.5462869417025411,U,GT3,T,0.2292342342960711,0.4402569352729889,other,other,home,father,-0.6432494670875735,-0.04228584588102149,-0.4499436443692835,no,yes,yes,no,yes,yes,no,no,0.06219405883392808,-0.23601020446248228,-0.997295264883693,-0.5406986566036541,-0.2263446258965981,1.0410698456029082,-0.21379576818001317,-1.4808068874909766,-0.19003817253382177,-0.0907391984402851,0
GP,M,-0.5462869417025411,U,LE3,T,1.1438556741642336,0.4402569352729889,services,other,reputation,mother,-0.6432494670875735,-0.04228584588102149,-0.4499436443692835,no,yes,yes,yes,yes,yes,yes,no,1.178860115170367,0.7663987284695665,-0.997295264883693,-0.5406986566036541,-0.2263446258965981,1.0410698456029082,0.5368649289853663,1.2341330222720055,1.1409029294317736,1.0020041974107081,1
GP,M,-0.5462869417025411,U,LE3,T,-0.6853872055720913,-0.4798567654298188,other,other,home,mother,-0.6432494670875735,-0.04228584588102149,-0.4499436443692835,no,no,no,no,yes,yes,yes,no,0.06219405883392808,0.7663987284695665,0.8014792996325567,-0.5406986566036541,-1.0037892104979562,-0.3992894854413955,-0.7142362329569328,0.3291530523510115,0.34233826825241637,0.12780948072991352,0
GP,F,0.23837975637929248,U,GT3,A,1.1438556741642336,1.3603706359757965,other,teacher,home,mother,0.7922507560739607,-0.04228584588102149,-0.4499436443692835,yes,yes,no,no,yes,yes,no,no,0.06219405883392808,-2.2408280703265797,0.8014792996325567,-0.5406986566036541,-1.0037892104979562,-1.8396488164856992,0.03642446420844665,-1.4808068874909766,-1.520979274499417,-0.9649339151210796,2
GP,M,-1.3309536397843746,U,LE3,A,0.2292342342960711,-0.4798567654298188,services,other,home,mother,-0.6432494670875735,-0.04228584588102149,-0.4499436443692835,no,yes,yes,no,yes,yes,yes,no,0.06219405883392808,-1.238419137394531,-0.997295264883693,-0.5406986566036541,-1.0037892104979562,-1.8396488164856992,-0.7142362329569328,1.5357930122456702,1.9394675906111307,1.8761989140915025,1
GP,M,-1.3309536397843746,U,GT3,T,0.2292342342960711,1.3603706359757965,other,other,home,mother,-0.6432494670875735,-0.04228584588102149,-0.4499436443692835,no,yes,yes,yes,yes,yes,yes,no,1.178860115170367,1.7688076614016153,-1.896682547141818,-0.5406986566036541,-1.0037892104979562,1.0410698456029082,-0.7142362329569328,0.9324730322983409,1.1409029294317736,1.0020041974107081,1
